Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
0;-0,091;0,441;-0,519;0,088;0,111;0;;;;Root;DataStructureVersion;String;"V1.0"
0,8125;-0,141;0,435;0,824;0,087;0,114;0;;;;Root;DataColumnCount;Integer;7
1,625;-0,122;0,443;1,465;0,088;0,115;0;;;;Root;Format;Group;
2,4375;-0,089;0,424;0,785;0,085;0,112;0;;;;Format;ListSeparator;String;";"
3,25;-0,133;0,43;0,637;0,086;0,116;0;;;;Format;DecimalSeparator;String;","
4,0625;-0,114;0,422;0,964;0,084;0,116;0;;;;Format;GroupSeparator;String;"."
4,875;-0,089;0,413;-0,3;0,082;0,114;0;;;;Root;Header;Group;
5,6875;-0,138;0,423;0,298;0,085;0,118;0;;;;Header;ContentDescription;String;Kollmorgen WorkBench Scope
6,5;-0,106;0,411;-0,225;0,082;0,116;0;;;;Header;UserNote;String;
7,3125;-0,106;0,411;2,419;0,082;0,118;0;;;;Header;ExportDate;DateTime;2024-10-15 09:31:26 UTC
8,125;-0,145;0,414;-0,586;0,083;0,118;0;;;;Root;XYTraceSources;Array(Group);6
8,9375;-0,102;0,409;1,1;0,082;0,119;0;;;;XYTraceSources;XYTraceSource[0];Group;
9,75;-0,11;0,412;0,434;0,082;0,119;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;0
10,5625;-0,146;0,4;-0,573;0,08;0,121;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;1
11,375;-0,105;0,398;1,416;0,079;0,119;0;;;;XYTraceSource[0];Name;String;[Axis1] Current feedback
12,1875;-0,123;0,39;-0,63;0,078;0,12;0;;;;XYTraceSource[0];Unit;String;Arms
13;-0,14;0,399;-1,202;0,08;0,122;0;;;;XYTraceSource[0];DeviceName;String;"IL.FB"
13,8125;-0,083;0,405;1,11;0,081;0,119;0;;;;XYTraceSource[0];FilterRequired;Boolean;False
14,625;-0,139;0,392;1,634;0,078;0,122;0;;;;XYTraceSource[0];FilterFrequency;Integer;400
15,4375;-0,125;0,4;2,323;0,08;0,124;0;;;;XYTraceSources;XYTraceSource[1];Group;
16,25;-0,089;0,391;0,538;0,078;0,122;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;0
17,0625;-0,146;0,381;-0,852;0,076;0,123;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;2
17,875;-0,119;0,389;0,704;0,078;0,124;0;;;;XYTraceSource[1];Name;String;[Axis1] Velocity command
18,6875;-0,091;0,378;-0,26;0,075;0,122;0;;;;XYTraceSource[1];Unit;String;mm/s
