Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
0;0,05;45,719;10,397;0,186;0,188;0;;;;Root;DataStructureVersion;String;"V1.0"
0,625;0,126;50,222;1,915;0,219;0,188;0;;;;Root;DataColumnCount;Integer;7
1,25;0,147;53,221;5,4;0,241;0,193;0;;;;Root;Format;Group;
1,875;0,271;57,756;3,205;0,281;0,194;0;;;;Format;ListSeparator;String;";"
2,5;0,418;60,773;5,124;0,307;0,196;0;;;;Format;DecimalSeparator;String;","
3,125;0,512;65,324;4,983;0,35;0,201;0;;;;Format;GroupSeparator;String;"."
3,75;0,689;68,332;16,991;0,374;0,208;0;;;;Root;Header;Group;
4,375;0,734;72,821;27,827;0,404;0,229;0;;;;Header;ContentDescription;String;Kollmorgen WorkBench Scope
5;0,841;75,809;38,774;0,424;0,25;0;;;;Header;UserNote;String;
5,625;0,82;80,195;60,201;0,434;0,289;0;;;;Header;ExportDate;DateTime;2024-10-15 10:24:48 UTC
6,25;0,794;83,106;77,603;0,439;0,337;0;;;;Root;XYTraceSources;Array(Group);6
6,875;0,737;87,403;89,073;0,431;0,391;0;;;;XYTraceSources;XYTraceSource[0];Group;
7,5;0,628;90,264;99,269;0,425;0,456;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;0
8,125;0,604;94,542;105,474;0,414;0,517;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;1
8,75;0,524;97,4;105,237;0,408;0,585;0;;;;XYTraceSource[0];Name;String;[Axis1] Current feedback
9,375;0,531;101,717;104,388;0,404;0,647;0;;;;XYTraceSource[0];Unit;String;Arms
10;0,507;104,584;103,188;0,4;0,713;0;;;;XYTraceSource[0];DeviceName;String;"IL.FB"
10,625;0,515;108,926;105,575;0,401;0,78;0;;;;XYTraceSource[0];FilterRequired;Boolean;False
11,25;0,553;111,816;103,359;0,401;0,842;0;;;;XYTraceSource[0];FilterFrequency;Integer;400
11,875;0,556;116,163;107,662;0,404;0,912;0;;;;XYTraceSources;XYTraceSource[1];Group;
12,5;0,617;119,067;108,068;0,407;0,976;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;0
13,125;0,614;123,4;113,817;0,407;1,05;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;2
13,75;0,659;126,31;117,11;0,411;1,122;0;;;;XYTraceSource[1];Name;String;[Axis1] Velocity command
14,375;0,663;130,641;119,867;0,41;1,196;0;;;;XYTraceSource[1];Unit;String;mm/s
15;0,677;133,545;123,867;0,413;1,276;0;;;;XYTraceSource[1];DeviceName;String;"VL.CMD"
15,625;0,694;137,891;127,83;0,415;1,352;0;;;;XYTraceSource[1];FilterRequired;Boolean;False
16,25;0,704;140,792;129,362;0,417;1,437;0;;;;XYTraceSource[1];FilterFrequency;Integer;400
16,875;0,747;145,161;130,585;0,424;1,515;0;;;;XYTraceSources;XYTraceSource[2];Group;
17,5;0,775;148,062;135,768;0,427;1,6;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;0
18,125;0,81;152,463;129,863;0,44;1,683;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;3
18,75;0,835;155,376;131,348;0,445;1,763;0;;;;XYTraceSource[2];Name;String;[Axis1] Velocity feedback
19,375;0,884;159,79;132,296;0,461;1,85;0;;;;XYTraceSource[2];Unit;String;mm/s
20;0,929;162,729;133,345;0,47;1,928;0;;;;XYTraceSource[2];DeviceName;String;"VL.FB"
20,625;0,984;167,161;133,51;0,49;2,014;0;;;;XYTraceSource[2];FilterRequired;Boolean;False
21,25;1,035;170,122;133,5;0,504;2,096;0;;;;XYTraceSource[2];FilterFrequency;Integer;400
21,875;1,088;174,569;133,958;0,527;2,18;0;;;;XYTraceSources;XYTraceSource[3];Group;
22,5;1,134;177,554;132,444;0,546;2,263;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;0
