Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
35;0,233;65,269;10,791;0,339;0,208;0;;;;XYTraceSource[5];DeviceName;String;"IL.BUSFF"
35,625;0,375;68,299;9,963;0,367;0,213;0;;;;XYTraceSource[5];FilterRequired;Boolean;False
36,25;0,503;72,828;17,991;0,406;0,227;0;;;;XYTraceSource[5];FilterFrequency;Integer;400
36,875;0,663;75,806;35,809;0,424;0,245;0;;;;;;;
37,5;0,684;80,277;49,102;0,451;0,28;0;;;;;;;
38,125;0,731;83,199;63,752;0,457;0,318;0;;;;;;;
38,75;0,681;87,564;81,118;0,463;0,37;0;;;;;;;
39,375;0,635;90,442;91,223;0,461;0,427;0;;;;;;;
40;0,597;94,747;96,696;0,455;0,485;0;;;;;;;
40,625;0,501;97,622;98,304;0,452;0,549;0;;;;;;;
41,25;0,526;101,919;104,33;0,445;0,611;0;;;;;;;
41,875;0,477;104,802;104,211;0,443;0,679;0;;;;;;;
42,5;0,508;109,119;104,354;0,44;0,743;0;;;;;;;
43,125;0,512;112,013;105,584;0,441;0,808;0;;;;;;;
43,75;0,518;116,346;109,503;0,441;0,879;0;;;;;;;
44,375;0,548;119,241;111,974;0,442;0,945;0;;;;;;;
45;0,552;123,608;110,902;0,448;1,019;0;;;;;;;
45,625;0,595;126,494;116,974;0,448;1,088;0;;;;;;;
46,25;0,599;130,863;120,125;0,454;1,165;0;;;;;;;
46,875;0,646;133,757;122,791;0,455;1,241;0;;;;;;;
47,5;0,644;138,121;125,101;0,461;1,318;0;;;;;;;
48,125;0,665;141,029;128,754;0,465;1,401;0;;;;;;;
48,75;0,693;145,379;130,938;0,468;1,479;0;;;;;;;
49,375;0,725;148,296;131,198;0,473;1,565;0;;;;;;;
50;0,768;152,658;131,996;0,479;1,645;0;;;;;;;
50,625;0,796;155,586;135,928;0,487;1,731;0;;;;;;;
51,25;0,839;159,975;137,108;0,497;1,817;0;;;;;;;
51,875;0,869;162,914;134,907;0,507;1,899;0;;;;;;;
52,5;0,927;167,342;136,378;0,526;1,987;0;;;;;;;
53,125;0,958;170,288;134,539;0,537;2,068;0;;;;;;;
53,75;1,022;174,751;135,296;0,563;2,156;0;;;;;;;
54,375;1,07;177,717;135,31;0,578;2,239;0;;;;;;;
