Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
34,375;0,255;-0,941;-0,964;-0,188;14,189;0;;;;XYTraceSource[5];Unit;String;Arms
35;0,313;-0,941;1,425;-0,188;14,188;0;;;;XYTraceSource[5];DeviceName;String;"IL.BUSFF"
35,625;0,256;-0,948;-0,402;-0,189;14,188;0;;;;XYTraceSource[5];FilterRequired;Boolean;False
36,25;0,304;-0,927;-2,532;-0,185;14,186;0;;;;XYTraceSource[5];FilterFrequency;Integer;400
36,875;0,281;-0,934;-1,577;-0,186;14,186;0;;;;;;;
37,5;0,263;-0,936;-0,5;-0,187;14,187;0;;;;;;;
38,125;0,307;-0,934;-1,393;-0,186;14,185;0;;;;;;;
38,75;0,25;-0,939;0,477;-0,187;14,186;0;;;;;;;
39,375;0,305;-0,929;-0,54;-0,185;14,186;0;;;;;;;
40;0,258;-0,94;1,853;-0,188;14,187;0;;;;;;;
40,625;0,282;-0,932;0,316;-0,186;14,186;0;;;;;;;
41,25;0,27;-0,936;-0,189;-0,187;14,186;0;;;;;;;
41,875;0,256;-0,924;-3,598;-0,185;14,185;0;;;;;;;
42,5;0,296;-0,92;0,559;-0,184;14,184;0;;;;;;;
43,125;0,247;-0,927;-0,49;-0,185;14,186;0;;;;;;;
43,75;0,305;-0,924;-0,689;-0,184;14,185;0;;;;;;;
44,375;0,245;-0,928;0,278;-0,185;14,185;0;;;;;;;
45;0,276;-0,925;0,429;-0,185;14,184;0;;;;;;;
45,625;0,279;-0,928;-0,289;-0,185;14,184;0;;;;;;;
46,25;0,241;-0,932;0,517;-0,186;14,186;0;;;;;;;
46,875;0,289;-0,925;-2,98;-0,185;14,184;0;;;;;;;
47,5;0,239;-0,93;-2,225;-0,186;14,184;0;;;;;;;
48,125;0,3;-0,922;1,87;-0,184;14,183;0;;;;;;;
48,75;0,262;-0,923;-0,334;-0,184;14,184;0;;;;;;;
49,375;0,271;-0,919;0,189;-0,183;14,185;0;;;;;;;
50;0,283;-0,921;-1,919;-0,184;14,184;0;;;;;;;
50,625;0,242;-0,921;1,802;-0,184;14,185;0;;;;;;;
51,25;0,292;-0,919;-0,011;-0,184;14,183;0;;;;;;;
51,875;0,233;-0,925;0,446;-0,185;14,185;0;;;;;;;
52,5;0,285;-0,916;-0,783;-0,183;14,185;0;;;;;;;
53,125;0,259;-0,924;-0,689;-0,184;14,184;0;;;;;;;
53,75;0,264;-0,927;0,753;-0,185;14,185;0;;;;;;;
54,375;0,281;-0,929;-0,493;-0,185;14,184;0;;;;;;;
55;0,23;-0,927;-0,244;-0,185;14,185;0;;;;;;;
55,625;0,285;-0,926;0,474;-0,185;14,184;0;;;;;;;
56,25;0,232;-0,923;-0,303;-0,184;14,185;0;;;;;;;
56,875;0,275;-0,922;-0,168;-0,184;14,184;0;;;;;;;
57,5;0,25;-0,918;-2,347;-0,183;14,184;0;;;;;;;
58,125;0,25;-0,92;-0,329;-0,184;14,184;0;;;;;;;
58,75;0,276;-0,927;2,91;-0,185;14,184;0;;;;;;;
59,375;0,229;-0,919;-1,385;-0,184;14,185;0;;;;;;;
60;0,275;-0,926;0,615;-0,185;14,184;0;;;;;;;
60,625;0,23;-0,927;1,728;-0,185;14,185;0;;;;;;;
61,25;0,264;-0,922;-1,541;-0,184;14,185;0;;;;;;;
61,875;0,247;-0,928;2,347;-0,185;14,185;0;;;;;;;
62,5;0,235;-0,926;-0,239;-0,185;14,184;0;;;;;;;
63,125;0,274;-0,931;2,347;-0,186;14,185;0;;;;;;;
63,75;0,216;-0,926;-1,206;-0,185;14,186;0;;;;;;;
64,375;0,274;-0,925;-1,021;-0,185;14,184;0;;;;;;;
65;0,22;-0,93;1,511;-0,186;14,185;0;;;;;;;
65,625;0,244;-0,919;-2,4;-0,183;14,184;0;;;;;;;
66,25;0,242;-0,923;0,935;-0,184;14,185;0;;;;;;;
66,875;0,211;-0,923;1,102;-0,184;14,185;0;;;;;;;
67,5;0,258;-0,918;-2,304;-0,183;14,184;0;;;;;;;
68,125;0,217;-0,922;-0,301;-0,184;14,185;0;;;;;;;
68,75;0,266;-0,923;-0,445;-0,184;14,184;0;;;;;;;
69,375;0,214;-0,933;1,66;-0,186;14,186;0;;;;;;;
70;0,233;-0,925;-0,442;-0,185;14,185;0;;;;;;;
70,625;0,244;-0,93;-1,07;-0,186;14,185;0;;;;;;;
71,25;0,205;-0,929;0,248;-0,185;14,185;0;;;;;;;
71,875;0,263;-0,927;-1,053;-0,185;14,184;0;;;;;;;
72,5;0,205;-0,928;0,057;-0,185;14,185;0;;;;;;;
73,125;0,274;-0,922;-1,539;-0,184;14,184;0;;;;;;;
73,75;0,224;-0,927;0,74;-0,185;14,184;0;;;;;;;
74,375;0,239;-0,921;1,646;-0,184;14,186;0;;;;;;;
75;0,251;-0,931;0,796;-0,186;14,184;0;;;;;;;
75,625;0,198;-0,928;0,736;-0,185;14,186;0;;;;;;;
76,25;0,254;-0,923;-0,778;-0,184;14,184;0;;;;;;;
76,875;0,194;-0,923;-1,822;-0,184;14,185;0;;;;;;;
77,5;0,255;-0,927;1,815;-0,185;14,185;0;;;;;;;
78,125;0,224;-0,929;-1,745;-0,185;14,185;0;;;;;;;
78,75;0,221;-0,927;-1,373;-0,185;14,184;0;;;;;;;
79,375;0,243;-0,933;-0,561;-0,186;14,184;0;;;;;;;
80;0,188;-0,93;-0,34;-0,186;14,186;0;;;;;;;
80,625;0,243;-0,928;-0,812;-0,185;14,183;0;;;;;;;
81,25;0,187;-0,929;-0,254;-0,185;14,186;0;;;;;;;
81,875;0,239;-0,928;1,164;-0,185;14,185;0;;;;;;;
82,5;0,217;-0,931;0,356;-0,186;14,185;0;;;;;;;
83,125;0,205;-0,929;2,315;-0,185;14,187;0;;;;;;;
83,75;0,236;-0,925;-2,423;-0,185;14,185;0;;;;;;;
