Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
44,6875;-0,322;-157,446;-73,538;-0,858;12,857;0;;;;XYTraceSource[5];Unit;String;Arms
45,5;-0,562;-161,992;-111,876;-0,9;12,772;0;;;;XYTraceSource[5];DeviceName;String;"IL.BUSFF"
46,3125;-0,604;-167,829;-162,795;-0,912;12,647;0;;;;XYTraceSource[5];FilterRequired;Boolean;False
47,125;-0,616;-172,439;-81,044;-0,967;12,58;0;;;;XYTraceSource[5];FilterFrequency;Integer;400
47,9375;-0,826;-176,976;-101,604;-1,007;12,492;0;;;;;;;
48,75;-1,016;-181,587;-98,829;-1,062;12,411;0;;;;;;;
49,5625;-1,193;-187,624;-139,088;-1,114;12,305;0;;;;;;;
50,375;-1,227;-191,973;-175,803;-1,117;12,171;0;;;;;;;
51,1875;-1,224;-196,548;-157,521;-1,165;12,061;0;;;;;;;
52;-1,349;-201,081;-135,753;-1,204;11,957;0;;;;;;;
52,8125;-1,454;-207,137;-142,758;-1,26;11,843;0;;;;;;;
53,625;-1,56;-211,635;-151,924;-1,292;11,721;0;;;;;;;
54,4375;-1,594;-216,129;-164,163;-1,324;11,59;0;;;;;;;
55,25;-1,585;-220,612;-173,295;-1,354;11,448;0;;;;;;;
56,0625;-1,641;-226,543;-180,845;-1,384;11,306;0;;;;;;;
56,875;-1,687;-230,999;-188,83;-1,408;11,152;0;;;;;;;
57,6875;-1,721;-235,431;-192,328;-1,428;10,995;0;;;;;;;
58,5;-1,813;-239,867;-198,194;-1,448;10,838;0;;;;;;;
59,3125;-1,86;-245,791;-203,507;-1,477;10,67;0;;;;;;;
60,125;-1,922;-250,214;-210,429;-1,495;10,501;0;;;;;;;
60,9375;-2,011;-254,651;-216,296;-1,515;10,327;0;;;;;;;
61,75;-1,972;-259,023;-240,361;-1,523;10,131;0;;;;;;;
62,5625;-1,951;-264,804;-249,549;-1,523;9,931;0;;;;;;;
63,375;-1,877;-265,636;-251,344;-1,524;9,729;0;;;;;;;
64,1875;-1,812;-265,577;-271,853;-1,513;9,51;0;;;;;;;
65;-1,821;-265,447;-293,581;-1,487;9,274;0;;;;;;;
65,8125;-1,652;-265,138;-319,216;-1,425;9,017;0;;;;;;;
66,625;-1,436;-264,849;-329,249;-1,367;8,75;0;;;;;;;
67,4375;-1,303;-264,582;-315,02;-1,314;8,492;0;;;;;;;
68,25;-1,171;-264,408;-282,653;-1,279;8,259;0;;;;;;;
69,0625;-1,194;-264,363;-245,52;-1,27;8,055;0;;;;;;;
69,875;-1,436;-264,439;-225,01;-1,285;7,868;0;;;;;;;
70,6875;-1,671;-264,555;-217,554;-1,309;7,691;0;;;;;;;
71,5;-1,842;-264,652;-221,755;-1,328;7,511;0;;;;;;;
72,3125;-1,981;-264,778;-227,845;-1,353;7,324;0;;;;;;;
73,125;-2,045;-264,818;-240,661;-1,361;7,132;0;;;;;;;
73,9375;-2,026;-260,739;-256,336;-1,359;6,924;0;;;;;;;
74,75;-1,865;-256,348;-270,679;-1,342;6,7;0;;;;;;;
75,5625;-1,72;-250,446;-264,822;-1,309;6,486;0;;;;;;;
76,375;-1,613;-246,065;-253,725;-1,294;6,278;0;;;;;;;
77,1875;-1,589;-241,678;-254,477;-1,277;6,071;0;;;;;;;
78;-1,642;-237,261;-252,327;-1,254;5,872;0;;;;;;;
78,8125;-1,622;-231,399;-242,862;-1,23;5,671;0;;;;;;;
79,625;-1,61;-227,011;-236,75;-1,213;5,48;0;;;;;;;
80,4375;-1,647;-222,632;-236,747;-1,198;5,289;0;;;;;;;
81,25;-1,547;-218,205;-240,978;-1,174;5,092;0;;;;;;;
82,0625;-1,465;-212,291;-237,606;-1,138;4,899;0;;;;;;;
82,875;-1,399;-207,845;-232,518;-1,11;4,712;0;;;;;;;
83,6875;-1,295;-203,372;-242,253;-1,076;4,515;0;;;;;;;
84,5;-1,272;-198,847;-251,852;-1,032;4,312;0;;;;;;;
85,3125;-1,119;-192,742;-257,551;-0,959;4,102;0;;;;;;;
86,125;-0,949;-188,142;-257,726;-0,9;3,893;0;;;;;;;
86,9375;-0,887;-183,556;-244,721;-0,844;3,692;0;;;;;;;
87,75;-0,758;-179,011;-224,866;-0,796;3,506;0;;;;;;;
88,5625;-0,696;-173,043;-203,574;-0,75;3,337;0;;;;;;;
89,375;-0,758;-168,642;-183,933;-0,73;3,186;0;;;;;;;
90,1875;-0,804;-164,279;-169,003;-0,719;3,049;0;;;;;;;
91;-0,866;-159,947;-155,512;-0,713;2,921;0;;;;;;;
91,8125;-0,971;-154,194;-147,967;-0,71;2,798;0;;;;;;;
92,625;-1,016;-149,878;-144,814;-0,708;2,68;0;;;;;;;
93,4375;-1,058;-145,557;-142,923;-0,704;2,565;0;;;;;;;
94,25;-1,077;-141,238;-139,193;-0,701;2,449;0;;;;;;;
95,0625;-1,069;-135,46;-136,474;-0,693;2,34;0;;;;;;;
95,875;-1,076;-131,13;-131,127;-0,688;2,231;0;;;;;;;
96,6875;-1,061;-126,768;-132,468;-0,676;2,123;0;;;;;;;
97,5;-1,061;-122,428;-129,09;-0,669;2,023;0;;;;;;;
98,3125;-1,039;-116,623;-124,259;-0,656;1,921;0;;;;;;;
99,125;-1,001;-112,289;-117,391;-0,65;1,823;0;;;;;;;
99,9375;-0,994;-107,946;-112,258;-0,642;1,734;0;;;;;;;
