Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
0;-0,515;0,019;-7,041;0,004;0,194;0;;;;Root;DataStructureVersion;String;"V1.0"
0,625;-0,492;0,041;-11,953;0,008;0,19;0;;;;Root;DataColumnCount;Integer;7
1,25;-0,42;0,089;-13,376;0,018;0,183;0;;;;Root;Format;Group;
1,875;-0,35;0,113;-10,498;0,023;0,174;0;;;;Format;ListSeparator;String;";"
2,5;-0,351;0,141;-11,021;0,028;0,17;0;;;;Format;DecimalSeparator;String;","
3,125;-0,282;0,172;-6,604;0,034;0,162;0;;;;Format;GroupSeparator;String;"."
3,75;-0,331;0,178;-3,657;0,036;0,164;0;;;;Root;Header;Group;
4,375;-0,303;0,196;-1,647;0,039;0,16;0;;;;Header;ContentDescription;String;Kollmorgen WorkBench Scope
5;-0,329;0,196;-1,847;0,039;0,161;0;;;;Header;UserNote;String;
5,625;-0,346;0,217;-2,576;0,043;0,159;0;;;;Header;ExportDate;DateTime;2024-10-15 09:48:10 UTC
6,25;-0,314;0,218;-1,26;0,044;0,156;0;;;;Root;XYTraceSources;Array(Group);6
6,875;-0,353;0,23;-2,756;0,046;0,157;0;;;;XYTraceSources;XYTraceSource[0];Group;
7,5;-0,289;0,238;-1,374;0,047;0,152;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;0
8,125;-0,344;0,238;-1,346;0,047;0,154;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;1
8,75;-0,307;0,248;-3,62;0,05;0,15;0;;;;XYTraceSource[0];Name;String;[Axis1] Current feedback
9,375;-0,326;0,233;3,032;0,047;0,151;0;;;;XYTraceSource[0];Unit;String;Arms
10;-0,342;0,251;-2,814;0,05;0,151;0;;;;XYTraceSource[0];DeviceName;String;"IL.FB"
10,625;-0,278;0,247;-2,274;0,049;0,147;0;;;;XYTraceSource[0];FilterRequired;Boolean;False
11,25;-0,357;0,253;-0,742;0,051;0,15;0;;;;XYTraceSource[0];FilterFrequency;Integer;400
11,875;-0,296;0,269;-4,018;0,054;0,145;0;;;;XYTraceSources;XYTraceSource[1];Group;
12,5;-0,33;0,265;-1,46;0,053;0,144;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;0
13,125;-0,292;0,295;-4,392;0,059;0,141;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;2
13,75;-0,284;0,306;-7,035;0,061;0,137;0;;;;XYTraceSource[1];Name;String;[Axis1] Velocity command
14,375;-0,293;0,326;-1,862;0,065;0,138;0;;;;XYTraceSource[1];Unit;String;mm/s
15;-0,262;0,316;2,014;0,063;0,135;0;;;;XYTraceSource[1];DeviceName;String;"VL.CMD"
15,625;-0,317;0,342;-8,103;0,068;0,135;0;;;;XYTraceSource[1];FilterRequired;Boolean;False
16,25;-0,259;0,354;-3,626;0,071;0,13;0;;;;XYTraceSource[1];FilterFrequency;Integer;400
16,875;-0,299;0,341;1,02;0,068;0,133;0;;;;XYTraceSources;XYTraceSource[2];Group;
17,5;-0,28;0,348;-0,561;0,07;0,131;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;0
18,125;-0,285;0,33;1,423;0,066;0,13;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;3
18,75;-0,31;0,334;-0,624;0,067;0,133;0;;;;XYTraceSource[2];Name;String;[Axis1] Velocity feedback
19,375;-0,263;0,335;-0,424;0,067;0,131;0;;;;XYTraceSource[2];Unit;String;mm/s
20;-0,33;0,332;0,507;0,066;0,134;0;;;;XYTraceSource[2];DeviceName;String;"VL.FB"
20,625;-0,254;0,349;-1,985;0,07;0,128;0;;;;XYTraceSource[2];FilterRequired;Boolean;False
21,25;-0,309;0,34;1,379;0,068;0,13;0;;;;XYTraceSource[2];FilterFrequency;Integer;400
21,875;-0,292;0,358;-0,569;0,072;0,13;0;;;;XYTraceSources;XYTraceSource[3];Group;
22,5;-0,276;0,357;-1,909;0,071;0,128;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;0
23,125;-0,297;0,359;2,202;0,072;0,131;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;4
23,75;-0,276;0,358;1,229;0,072;0,129;0;;;;XYTraceSource[3];Name;String;[Axis1] Position error
24,375;-0,315;0,362;-1,435;0,072;0,131;0;;;;XYTraceSource[3];Unit;String;mm
25;-0,278;0,358;0,141;0,072;0,128;0;;;;XYTraceSource[3];DeviceName;String;"PL.ERR"
25,625;-0,3;0,355;-1,764;0,071;0,13;0;;;;XYTraceSource[3];FilterRequired;Boolean;False
26,25;-0,296;0,355;1,228;0,071;0,13;0;;;;XYTraceSource[3];FilterFrequency;Integer;400
26,875;-0,269;0,341;0,325;0,068;0,129;0;;;;XYTraceSources;XYTraceSource[4];Group;
27,5;-0,317;0,349;-0,379;0,07;0,131;0;;;;XYTraceSource[4];XDataColumnIndex;Integer;0
28,125;-0,258;0,351;-1,423;0,07;0,128;0;;;;XYTraceSource[4];XDataColumnIndex;Integer;5
28,75;-0,319;0,346;0,174;0,069;0,131;0;;;;XYTraceSource[4];Name;String;[Axis1] Position feedback
29,375;-0,268;0,359;-2,58;0,072;0,127;0;;;;XYTraceSource[4];Unit;String;mm
30;-0,293;0,351;1,093;0,07;0,129;0;;;;XYTraceSource[4];DeviceName;String;"PL.FB"
30,625;-0,292;0,364;0,157;0,073;0,129;0;;;;XYTraceSource[4];FilterRequired;Boolean;False
31,25;-0,262;0,363;0,875;0,073;0,128;0;;;;XYTraceSource[4];FilterFrequency;Integer;400
31,875;-0,311;0,37;-2,405;0,074;0,13;0;;;;XYTraceSources;XYTraceSource[5];Group;
32,5;-0,244;0,373;-0,489;0,074;0,126;0;;;;XYTraceSource[5];XDataColumnIndex;Integer;0
